"codigo_viagem";"empresa";"nu_linha";"onibus";"tipo_viagem";"sentido_linha";"in_transbordo";"origem";"origem_uf";"destino";"destino_uf";"lat";"lon";"pdop";"data_viagem_programada";"data_inicio_viagem";"data_fim_viagem"
"3d096937";"808be8bd";"b46cef63";"0b0b65f8";"regular";"ida";"não";"FORTALEZA";"CE";"NATAL";"RN";-3,791873;-38,509816;0,79;2019-01-08 21:00:00;2019-01-09 12:08:06;2019-01-09 09:19:34
"3a64ad2e";"808be8bd";"b46cef63";"eec9e30b";"regular";"volta";"não";"FORTALEZA";"CE";"NATAL";"RN";-3,791858;-38,509834;0,6;2019-01-08 21:30:00;2019-01-09 12:31:42;2019-01-09 09:25:08
"5ba68e94";"808be8bd";"22e790e7";"65f2a75b";"regular";"volta";"não";"FORTALEZA";"CE";"PARNAIBA";"PI";-3,757638;-38,530548;0,78;2019-01-08 22:00:00;2019-01-09 01:25:32;2019-01-09 10:29:32
"c2afdf2e";"808be8bd";"c61822da";"0c058aa4";"regular";"ida";"não";"SAO LUIS";"MA";"TERESINA";"PI";-2,562948;-44,244728;0,89;2019-01-08 22:30:00;2019-01-09 01:19:40;2019-01-09 08:57:10
"c5c21b37";"808be8bd";"b46cef63";"3192a3dc";"regular";"volta";"não";"FORTALEZA";"CE";"NATAL";"RN";-5,819749;-35,235318;0,58;2019-01-09 06:00:00;2019-01-09 09:10:26;2019-01-09 06:02:31
"dbb4ee6f";"808be8bd";"22e790e7";"e87bdf97";"regular";"volta";"não";"FORTALEZA";"CE";"PARNAIBA";"PI";-3,757553;-38,530623;0,89;2019-01-09 07:15:00;2019-01-09 10:34:50;2019-01-09 07:32:10
"a6c31a2a";"808be8bd";"c61822da";"bbe95b6b";"regular";"volta";"não";"SAO LUIS";"MA";"TERESINA";"PI";-5,097438;-42,764631;0,58;2019-01-09 12:30:00;2019-01-09 02:27:53;2019-01-10 12:07:01
"c8df1bfd";"808be8bd";"ee488bda";"e733354a";"regular";"volta";"não";"BELEM";"PA";"JOAO PESSOA";"PB";-7,142638;-34,921676;0,63;2019-01-09 16:00:00;2019-01-09 06:31:41;2019-01-11 12:06:30
"136d6467";"808be8bd";"22e790e7";"0b0b65f8";"regular";"volta";"não";"FORTALEZA";"CE";"PARNAIBA";"PI";-3,758153;-38,530743;0,59;2019-01-09 21:00:00;2019-01-09 11:10:26;2019-01-10 12:05:33
"fa0ec152";"808be8bd";"b46cef63";"a18ce07f";"regular";"volta";"não";"FORTALEZA";"CE";"NATAL";"RN";-5,81983;-35,235653;0,77;2019-01-09 21:00:00;2019-01-10 12:09:39;2019-01-10 09:03:15
"1400a07e";"808be8bd";"b46cef63";"5adaa493";"regular";"volta";"não";"FORTALEZA";"CE";"NATAL";"RN";-5,819711;-35,235303;0,83;2019-01-09 21:15:00;2019-01-10 01:12:46;2019-01-10 09:13:42
"cacee2b1";"51c1ab4e";"ea2a03fb";"58564461";"regular";"volta";"não";"PETROPOLIS";"RJ";"SAO PAULO";"SP";-23,5109317;-46,6026274;1,9;2019-01-04 22:00:00;2019-01-04 11:58:44;2019-01-05 07:22:21
"81243897";"51c1ab4e";"7abcba0e";"08b85c2a";"regular";"ida";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-14,8801118;-40,8570372;1;2019-01-05 08:30:00;2019-01-05 09:21:35;2019-01-06 11:27:55
"f6230801";"51c1ab4e";"7abcba0e";"b845bebf";"regular";"ida";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-14,8801433;-40,8569983;1;2019-01-05 09:15:00;2019-01-05 11:26:27;2019-01-06 01:33:00
"182d692d";"51c1ab4e";"7abcba0e";"37b7d4a9";"regular";"ida";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-14,8802782;-40,8567784;1;2019-01-05 09:55:00;2019-01-05 12:25:48;2019-01-06 01:19:53
"f14ecc18";"51c1ab4e";"7abcba0e";"e1900a9c";"regular";"volta";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-14,8797605;-40,8540506;1;2019-01-05 10:15:00;2019-01-05 12:03:09;2019-01-06 02:18:56
"68479da2";"51c1ab4e";"7abcba0e";"d8d8e290";"regular";"volta";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-23,5170137;-46,6236018;2,9;2019-01-05 10:30:00;2019-01-05 01:08:08;2019-01-06 03:13:58
